#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   7.2000000000000000E+03   1.0541629760164381E+03   1.2534163795524958E+03   6.6312801558629317E+03   3.6170247702123237E-02   7.6251318185846810E+05
   7.3000000000000000E+03   1.0592036838255337E+03   1.2635770166220677E+03   6.5487283124937585E+03   3.4656434703160814E-02   7.6735602437255112E+05
   7.4000000000000000E+03   1.0652480729353551E+03   1.2734398336586378E+03   6.5157685591938925E+03   3.3192980242187864E-02   7.7194083884660969E+05
   7.5000000000000000E+03   1.0697805240335176E+03   1.2830265630589718E+03   6.4364938980850866E+03   3.1777440953162865E-02   7.7628070128779637E+05
   7.6000000000000000E+03   1.0734990149730997E+03   1.2923583925971855E+03   6.3389811142943636E+03   3.0407464536366537E-02   7.8038848315544019E+05
   7.7000000000000000E+03   1.0766400523036054E+03   1.3014559198128293E+03   6.2326542387878080E+03   2.9080785941485617E-02   7.8427681652864127E+05
   7.8000000000000000E+03   1.0814562623637987E+03   1.3103391135269283E+03   6.1912652387135231E+03   2.7795223599757300E-02   7.8795806941032305E+05
   7.9000000000000000E+03   1.0839225438562148E+03   1.3190272820005837E+03   6.0812190269167741E+03   2.6548675911228833E-02   7.9144432042867935E+05
   8.0000000000000000E+03   1.0888086591450926E+03   1.3275390471562862E+03   6.0546795987665264E+03   2.5339117830138373E-02   7.9474734056269913E+05
   8.1000000000000000E+03   1.0917876582131923E+03   1.3358923244077134E+03   5.9749400747948957E+03   2.4164597705411135E-02   7.9787857507298049E+05
   8.2000000000000000E+03   1.0944237278838718E+03   1.3441043075416287E+03   5.8916061831514526E+03   2.3023234140779714E-02   8.0084913080965169E+05
   8.3000000000000000E+03   1.0976177262875324E+03   1.3521914582920620E+03   5.8300960679224690E+03   2.1913213168892342E-02   8.0366976377146738E+05
   8.4000000000000000E+03   1.1001686807848766E+03   1.3601695000498207E+03   5.7554275742061054E+03   2.0832785346924267E-02   8.0635087395065522E+05
   8.5000000000000000E+03   1.1037778560203847E+03   1.3680534154424204E+03   5.7138354720383204E+03   1.9780263205425534E-02   8.0890249573913647E+05
   8.6000000000000000E+03   1.1055610361473939E+03   1.3758574472771440E+03   5.6275049255931781E+03   1.8754018657920171E-02   8.1133429663038568E+05
   8.7000000000000000E+03   1.1083368778848303E+03   1.3835951025773463E+03   5.5710941170253445E+03   1.7752480636184450E-02   8.1365557382987847E+05
   8.8000000000000000E+03                      NaN   1.3912791593191166E+03                      NaN   1.6774132764773419E-02   8.1587525427608134E+05
   8.9000000000000000E+03   1.1109952043771427E+03   1.3989216756132782E+03   5.3978894897473838E+03   1.5817511241602192E-02   8.1800189447951980E+05
   9.0000000000000000E+03   1.1131982947484753E+03   1.4065340009650406E+03   5.3377451779568346E+03   1.4881202679278647E-02   8.2004368600276951E+05
   9.1000000000000000E+03   1.1160935112028790E+03   1.4141267894446023E+03   5.2957097376125321E+03   1.3963842211363505E-02   8.2200845519644907E+05
