#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   8.6000000000000000E+03   1.6827222519334907E+03   2.3933459075233391E+03   5.6673266974494618E+03   3.4554560207341778E+00   2.2954649286044473E+06
   8.7000000000000000E+03   1.6924182639667733E+03   2.4229672049334713E+03   5.6131406407840632E+03   3.4549981253682742E+00   2.3222051415439700E+06
   8.8000000000000000E+03   1.7046534502631666E+03   2.4524768074646950E+03   5.5903884403659567E+03   3.4545431184050379E+00   2.3485223520581005E+06
   8.9000000000000000E+03   1.7132469722096523E+03   2.4818766730199472E+03   5.5320106560631621E+03   3.4540915671135877E+00   2.3744159229410235E+06
   9.0000000000000000E+03   1.7270684834659478E+03   2.5111685700897656E+03   5.5311307421816373E+03   3.4536439954441094E+00   2.3998856117052594E+06
   9.1000000000000000E+03   1.7404304895727248E+03   2.5403540778281717E+03   5.5271650396070763E+03   3.4532008865541544E+00   2.4249315482910164E+06
   9.2000000000000000E+03   1.7539422419634927E+03   2.5694345870831717E+03   5.5262810095241548E+03   3.4527626851818387E+00   2.4495542128821453E+06
   9.3000000000000000E+03   1.7620428996711521E+03   2.5984113022762335E+03   5.4742768513733563E+03   3.4523297999096565E+00   2.4737544147291225E+06
   9.4000000000000000E+03   1.7691846759755158E+03   2.6272852440248439E+03   5.4167925837780685E+03   3.4519026052861519E+00   2.4975332753193155E+06
   9.5000000000000000E+03   1.7786537491592485E+03   2.6560572524226554E+03   5.3843028577296500E+03   3.4514814438491288E+00   2.5208922057026718E+06
   9.6000000000000000E+03   1.7904764598085576E+03   2.6847279908991854E+03   5.3753805294932790E+03   3.4510666280832689E+00   2.5438328898723489E+06
   9.7000000000000000E+03   1.8009146384409605E+03   2.7132979505610097E+03   5.3556634943956951E+03   3.4506584421590132E+00   2.5663572683101133E+06
   9.8000000000000000E+03   1.8124642597701431E+03   2.7417674549754620E+03   5.3473995853915567E+03   3.4502571436495661E+00   2.5884675217390428E+06
   9.9000000000000000E+03   1.8217058519245795E+03   2.7701366653290056E+03   5.3207615173810618E+03   3.4498629651822950E+00   2.6101660535693821E+06
   1.0000000000000000E+04   1.8330933289940522E+03   2.7984055858863553E+03   5.3140717676397198E+03   3.4494761159041940E+00   2.6314554771353579E+06
   1.0100000000000000E+04   1.8452047418512022E+03   2.8265740697277715E+03   5.3146228728592596E+03   3.4490967829473580E+00   2.6523386003042171E+06
   1.0200000000000000E+04   1.8505969659229493E+03   2.8546418246942708E+03   5.2615094369794124E+03   3.4487251327304160E+00   2.6728184126220210E+06
   1.0300000000000000E+04   1.8591287534629535E+03   2.8826084195271424E+03   5.2361960627180697E+03   3.4483613122818193E+00   2.6928980717956712E+06
   1.0400000000000000E+04   1.8658736065843982E+03   2.9104732901349366E+03   5.1987142828469923E+03   3.4480054503881767E+00   2.7125808922799402E+06
   1.0500000000000000E+04   1.8706762292434810E+03   2.9382357459783802E+03   5.1486476208147142E+03   3.4476576587316146E+00   2.7318703339324435E+06
   1.0600000000000000E+04   1.8809199357732537E+03   2.9658949765325679E+03   5.1416952272613489E+03   3.4473180329506294E+00   2.7507699892104189E+06
   1.0700000000000000E+04   1.8882455021607730E+03   2.9934500578000798E+03   5.1143189545706209E+03   3.4469866536352702E+00   2.7692835748906550E+06
   1.0800000000000000E+04   1.8952936437530600E+03   3.0208999588527213E+03   5.0865852595367724E+03   3.4466635872786249E+00   2.7874149205444735E+06
   1.0900000000000000E+04   1.9058192771312947E+03   3.0482435483652916E+03   5.0851522172148980E+03   3.4463488870860886E+00   2.8051679602215700E+06
   1.1000000000000000E+04   1.9108175350038052E+03   3.0754796011553481E+03   5.0458244680817897E+03   3.4460425938940458E+00   2.8225467228205870E+06
   1.1100000000000000E+04   1.9148805865618626E+03   3.1026068046716450E+03   5.0020968194635943E+03   3.4457447369244547E+00   2.8395553227839381E+06
   1.1200000000000000E+04   1.9243213969541307E+03   3.1296237654299548E+03   4.9965901783207319E+03   3.4454553344847851E+00   2.8561979537626388E+06
   1.1300000000000000E+04   1.9341368672120525E+03   3.1565290153849755E+03   4.9944358283107904E+03   3.4451743946460738E+00   2.8724788802771913E+06
   1.1400000000000000E+04   1.9401081699755296E+03   3.1833210182317871E+03   4.9677632625731103E+03   3.4449019159647203E+00   2.8884024294331297E+06
   1.1500000000000000E+04   1.9442446150194360E+03   3.2099981755951389E+03   4.9306767616631914E+03   3.4446378880183697E+00   2.9039729851718135E+06
   1.1600000000000000E+04   1.9504034478706080E+03   3.2365588331270851E+03   4.9081126430989680E+03   3.4443822920074161E+00   2.9191949815497366E+06
   1.1700000000000000E+04   1.9562468641893486E+03   3.2630012864869755E+03   4.8848015553775613E+03   3.4441351013018169E+00   2.9340728959911279E+06
   1.1800000000000000E+04   1.9628226238830091E+03   3.2893237871949386E+03   4.8672095625328438E+03   3.4438962819332315E+00   2.9486112436229936E+06
   1.1900000000000000E+04   1.9672687827025661E+03   3.3155245483533836E+03   4.8377526790038537E+03   3.4436657930543477E+00   2.9628145723714717E+06
   1.2000000000000000E+04   1.9767788281841570E+03   3.3416017502346863E+03   4.8399008291586233E+03   3.4434435874200777E+00   2.9766874567168774E+06
   1.2100000000000000E+04   1.9787201679022869E+03   3.3675535457177793E+03   4.7978729657863023E+03   3.4432296117922090E+00   2.9902344930711524E+06
   1.2200000000000000E+04   1.9815444357604003E+03   3.3933780655772825E+03   4.7626924888792937E+03   3.4430238073549866E+00   3.0034602951541804E+06
   1.2300000000000000E+04   1.9860521018932750E+03   3.4190734236085632E+03   4.7385603107127727E+03   3.4428261100213247E+00   3.0163694896895085E+06
   1.2400000000000000E+04   1.9939601148449487E+03   3.4446377216082069E+03   4.7346634393164904E+03   3.4426364508812068E+00   3.0289667116159764E+06
   1.2500000000000000E+04   1.9957867433457500E+03   3.4700690541742806E+03   4.6975519993340276E+03   3.4424547564532122E+00   3.0412566005828180E+06
   1.2600000000000000E+04   1.9980456157685899E+03   3.4953655133502130E+03   4.6642669684267712E+03   3.4422809490235493E+00   3.0532437970439475E+06
   1.2700000000000000E+04   2.0037588470606443E+03   3.5205251930973122E+03   4.6508702677914553E+03   3.4421149469413370E+00   3.0649329386988012E+06
   1.2800000000000000E+04   2.0078191141132838E+03   3.5455461935955773E+03   4.6294401083640214E+03   3.4419566648810762E+00   3.0763286570926090E+06
   1.2900000000000000E+04   2.0107160091483915E+03   3.5704266253740043E+03   4.6028499777106817E+03   3.4418060141051243E+00   3.0874355745464829E+06
   1.3000000000000000E+04   2.0156421272033404E+03   3.5951646132698347E+03   4.5878202511593236E+03   3.4416629027370993E+00   3.0982583011002918E+06
   1.3100000000000000E+04   2.0140979063545799E+03   3.6197583002073584E+03   4.5405290196288634E+03   3.4415272359040543E+00   3.1088014318063897E+06
   1.3200000000000000E+04   2.0167231757972445E+03   3.6442058508172972E+03   4.5157804193698139E+03   3.4413989160755141E+00   3.1190695440103388E+06
   1.3300000000000000E+04   2.0217554885828306E+03   3.6685054548689382E+03   4.5039144922555433E+03   3.4412778431509561E+00   3.1290671949602058E+06
   1.3400000000000000E+04   2.0237873181508533E+03   3.6926553305421166E+03   4.4779748744451435E+03   3.4411639147222748E+00   3.1387989194159023E+06
   1.3500000000000000E+04   2.0272827627528447E+03   3.7166537275225937E+03   4.4600672049283130E+03   3.4410570262159794E+00   3.1482692275262298E+06
   1.3600000000000000E+04   2.0304859555820030E+03   3.7404989299324693E+03   4.4415046306781960E+03   3.4409570711009612E+00   3.1574826028076471E+06
   1.3700000000000000E+04   2.0367749502592787E+03   3.7641892590900625E+03   4.4383135833458628E+03   3.4408639410088080E+00   3.1664435001665899E+06
