#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   1.8000000000000000E+04   1.1624455757750104E+03   1.5567363182551651E+03   4.5895605725388723E+03   4.9438537337922375E+00   3.4276332605885724E+06
   1.8100000000000000E+04   1.1687131034669619E+03   1.5675922269515486E+03   4.5930345025991928E+03   4.9511464642081568E+00   3.4442674778216411E+06
   1.8200000000000000E+04   1.1744946139793303E+03   1.5784125631851498E+03   4.5896377166285120E+03   4.9584219729223671E+00   3.4607879237941313E+06
   1.8300000000000000E+04   1.1807016069109939E+03   1.5891965449766358E+03   4.5933663786301222E+03   4.9656802265369739E+00   3.4771941790805529E+06
   1.8400000000000000E+04   1.1872765622520221E+03   1.5999434009661711E+03   4.6031692462033398E+03   4.9729211935278199E+00   3.4934859899035050E+06
   1.8500000000000000E+04   1.1933603678804884E+03   1.6106523704777701E+03   4.6061000292303561E+03   4.9801448438738642E+00   3.5096629345624442E+06
   1.8600000000000000E+04   1.1993903178771973E+03   1.6213227035536854E+03   4.6087923534927959E+03   4.9873511493454368E+00   3.5257247129235961E+06
   1.8700000000000000E+04   1.2053917355200965E+03   1.6319536610031444E+03   4.6116245689235384E+03   4.9945400834013052E+00   3.5416709325172324E+06
   1.8800000000000000E+04   1.2113316454590852E+03   1.6425445144452985E+03   4.6141158868949042E+03   5.0017116211680639E+00   3.5575012780710850E+06
   1.8900000000000000E+04   1.2172477317713096E+03   1.6530945463427399E+03   4.6168183858768152E+03   5.0088657396048681E+00   3.5732153883796595E+06
